game,commence_time,afl_match_id,afl_match_url,afl_provider_match_id
St Kilda Saints v Hawthorn Hawks,2026-05-28T09:30:00Z,8139,https://www.afl.com.au/afl/matches/8139,CD_M20260141201
Sydney Swans v Richmond Tigers,2026-05-30T03:15:00Z,8141,https://www.richmondfc.com.au/matches/8143,CD_M20260141203
