captured_datetime,match_datetime,game,player,market,type,line,best_price,bookie,qi,bet_size,final_stat,stat,market_bucket,captured_qi_tier,wheelo_projection,season_projection,last5_projection,last10_projection,dynamic_sigma,probability_model,model_stat_edge,model_support,model_probability,market_implied_probability,model_edge,model_qi_num,model_qi_tier,bet_rule,win,profit
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Jack Ginnivan,Goal Scorer Anytime,Over,0.5,1.45,TAB,84.2,$45,2,Goals_Avg,Goals,QI 80-89,0.637,0.818,0.4,0.7,0.952,negative_binomial,0.137,Model lean support,0.4121,0.6897,-0.2775,46.5,QI <60,PASS,True,0.0
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Ben King,Goals Scored Over,Over,2.5,2.20,TAB,83.8,$30,4,Goals_Avg,Goals,QI 80-89,2.692,3.091,2.0,3.0,1.084,poisson,0.192,Model lean support,0.5044,0.4545,0.0499,69.5,QI 60-69,PASS,True,0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Jesse Hogan,Goals Scored Over,Over,1.5,1.55,TAB,83.3,$45,3,Goals_Avg,Goals,QI 80-89,1.443,1.429,1.5,1.429,0.892,poisson,-0.057,Model lean against,0.4229,0.6452,-0.2222,26.5,QI <60,PASS,True,0.0
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Jack Martin,Goals Scored Over,Over,1.5,2.90,TAB,83.2,$25,0,Goals_Avg,Goals,QI 80-89,1.242,1.2,1.2,1.333,0.868,poisson,-0.258,Model strong against,0.3525,0.3448,0.0077,37.3,QI <60,PASS,False,-0.0
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Gryan Miers,Disposals Over,Over,19.5,1.85,Dabble AU,83.0,$35,28,Disposals,Disposals,QI 80-89,21.862,22.714,20.0,21.833,6.313,normal_cc,2.362,Model lean support,0.6459,0.5405,0.1053,78.0,QI 70-79,B_BET,True,0.43
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Joshua Weddle,Goal Scorer Anytime,Over,0.5,2.40,PointsBet (AU),81.3,$30,0,Goals_Avg,Goals,QI 80-89,0.384,0.455,0.2,0.5,0.908,negative_binomial,-0.116,Model lean against,0.2257,0.4167,-0.191,26.5,QI <60,PASS,False,-0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Lachlan Ash,Disposals Over,Over,24.5,1.45,TAB,80.9,$45,20,Disposals,Disposals,QI 80-89,,,,,5.5,no_projection,,No Model data match,,0.6897,,0.0,QI <60,PASS_NO_MODEL,False,-0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Harry Rowston,Disposals Over,Over,14.5,1.28,Dabble AU,80.7,$60,15,Disposals,Disposals,QI 80-89,16.43,15.75,21.0,15.75,6.745,normal_cc,1.93,Model lean support,0.6126,0.7812,-0.1686,50.6,QI <60,PASS,True,0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,James Sicily,Goal Scorer Anytime,Over,0.5,3.00,PointsBet (AU),80.6,$25,0,Goals_Avg,Goals,QI 80-89,0.0,0.0,0.0,0.0,0.85,negative_binomial,-0.5,Model strong against,0.01,0.3333,-0.3233,18.5,QI <60,PASS,False,-0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Callum Brown,Goal Scorer Anytime,Over,0.5,1.58,TAB,80.5,$40,1,Goals_Avg,Goals,QI 80-89,0.175,0.2,0.0,0.2,0.93,negative_binomial,-0.325,Model strong against,0.0685,0.6329,-0.5644,18.5,QI <60,PASS,True,0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Connor Idun,Disposals Over,Over,14.5,1.62,Dabble AU,80.3,$40,13,Disposals,Disposals,QI 80-89,20.47,20.2,21.0,20.2,5.662,normal_cc,5.97,Model strong support,0.8541,0.6173,0.2369,93.5,QI 90+,A_BET,False,-1.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Jake Stringer,Goal Scorer Anytime,Over,0.5,1.36,PointsBet (AU),80.2,$50,5,Goals_Avg,Goals,QI 80-89,1.8,1.8,1.8,1.8,0.85,poisson,1.3,Model strong support,0.8347,0.7353,0.0994,82.4,QI 80-89,LEAN,True,0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Jarman Impey,Disposals Over,Over,19.5,1.75,Dabble AU,80.1,$35,18,Disposals,Disposals,QI 80-89,23.764,23.273,24.2,23.8,5.766,normal_cc,4.264,Model strong support,0.7702,0.5714,0.1988,93.5,QI 90+,A_BET,False,-1.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Jake Stringer,Goals Scored Over,Over,1.5,2.30,TAB,79.8,$30,5,Goals_Avg,Goals,QI 70-79,1.8,1.8,1.8,1.8,0.85,poisson,0.3,Model strong support,0.5372,0.4348,0.1024,82.7,QI 80-89,LEAN,True,0.0
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Shannon Neale,Goal Scorer Anytime,Over,0.5,1.31,PointsBet (AU),79.7,$55,1,Goals_Avg,Goals,QI 70-79,1.966,2.0,1.8,2.1,0.905,poisson,1.466,Model strong support,0.86,0.7634,0.0966,82.2,QI 80-89,LEAN,True,0.0
2026-03-02 11:51:47,2026-03-06 20:05:00,Gold Coast Suns v Geelong Cats,Shaun Mannagh,Disposals Over,Over,14.5,1.33,Dabble AU,79.6,$55,10,Disposals,Disposals,QI 70-79,16.683,15.818,17.8,16.4,5.987,normal_cc,2.183,Model lean support,0.6423,0.7519,-0.1096,56.5,QI <60,PASS,False,-0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Jack Ginnivan,Disposals Over,Over,14.5,1.33,Dabble AU,79.6,$55,17,Disposals,Disposals,QI 70-79,18.127,18.909,16.4,19.1,6.037,normal_cc,3.627,Model strong support,0.726,0.7519,-0.0259,72.9,QI 70-79,PASS,True,0.0
2026-03-02 11:51:47,2026-03-07 16:15:00,Greater Western Sydney Giants v Hawthorn Hawks,Josh Battle,Disposals Over,Over,14.5,1.33,Dabble AU,79.6,$55,20,Disposals,Disposals,QI 70-79,22.034,21.273,23.4,21.4,5.95,normal_cc,7.534,Model strong support,0.8973,0.7519,0.1454,90.0,QI 90+,A_BET,True,0.33
